ID,date,days,height
ID_8,12/18/15,101,16
ID_8,1/20/16,134,35
ID_8,2/17/16,162,109
ID_8,3/16/16,190,142
ID_8,5/13/16,248,184
ID_80,12/18/15,101,15
ID_80,1/20/16,134,43
ID_80,2/17/16,162,113
ID_80,3/16/16,190,150
ID_80,5/13/16,248,178
ID_81,12/18/15,101,12
ID_81,1/20/16,134,50
ID_81,2/17/16,162,102
ID_81,3/16/16,190,148
ID_81,5/13/16,248,148
ID_82,12/18/15,101,12
ID_82,1/20/16,134,29
ID_82,2/17/16,162,95
ID_82,3/16/16,190,144
ID_82,5/13/16,248,163
ID_84,12/18/15,101,20
ID_84,1/20/16,134,84
ID_84,2/17/16,162,150
ID_84,3/16/16,190,153
ID_84,5/13/16,248,195
ID_85,12/18/15,101,13
ID_85,1/20/16,134,32
ID_85,2/17/16,162,114
ID_85,3/16/16,190,160
ID_85,5/13/16,248,160
ID_86,12/18/15,101,19
ID_86,1/20/16,134,46
ID_86,2/17/16,162,66
ID_86,3/16/16,190,146
ID_86,5/13/16,248,206
ID_87,12/18/15,101,14
ID_87,1/20/16,134,33
ID_87,2/17/16,162,69
ID_87,3/16/16,190,132
ID_87,5/13/16,248,180
ID_88,12/18/15,101,13
ID_88,1/20/16,134,56
ID_88,2/17/16,162,110
ID_88,3/16/16,190,126
ID_88,5/13/16,248,155
ID_89,12/18/15,101,15
ID_89,1/20/16,134,35
ID_89,2/17/16,162,83
ID_89,3/16/16,190,130
ID_89,5/13/16,248,177
ID_9,12/18/15,101,15
ID_9,1/20/16,134,42
ID_9,2/17/16,162,101
ID_9,3/16/16,190,154
ID_9,5/13/16,248,204
ID_90,12/18/15,101,13
ID_90,1/20/16,134,35
ID_90,2/17/16,162,83
ID_90,3/16/16,190,116
ID_90,5/13/16,248,177
ID_91,12/18/15,101,10
ID_91,1/20/16,134,40
ID_91,2/17/16,162,74
ID_91,3/16/16,190,120
ID_91,5/13/16,248,174
ID_92,12/18/15,101,12
ID_92,1/20/16,134,42
ID_92,2/17/16,162,55
ID_92,3/16/16,190,138
ID_92,5/13/16,248,184
ID_94,12/18/15,101,12
ID_94,1/20/16,134,52
ID_94,2/17/16,162,127
ID_94,3/16/16,190,143
ID_94,5/13/16,248,170
ID_95,12/18/15,101,12
ID_95,1/20/16,134,84
ID_95,2/17/16,162,141
ID_95,3/16/16,190,150
ID_95,5/13/16,248,164
ID_96,12/18/15,101,24
ID_96,1/20/16,134,83
ID_96,2/17/16,162,136
ID_96,3/16/16,190,159
ID_96,5/13/16,248,206
ID_98,12/18/15,101,20
ID_98,1/20/16,134,50
ID_98,2/17/16,162,118
ID_98,3/16/16,190,146
ID_98,5/13/16,248,158
ID_99,12/18/15,101,15
ID_99,1/20/16,134,62
ID_99,2/17/16,162,114
ID_99,3/16/16,190,127
ID_99,5/13/16,248,130
Da_Ol1_1,12/18/15,101,29
Da_Ol1_1,1/20/16,134,85
Da_Ol1_1,2/17/16,162,113
Da_Ol1_1,3/16/16,190,140
Da_Ol1_1,5/13/16,248,174
Da_Ol1_2,12/18/15,101,24
Da_Ol1_2,1/20/16,134,59
Da_Ol1_2,2/17/16,162,75
Da_Ol1_2,3/16/16,190,91
Da_Ol1_2,5/13/16,248,105
Da_Ol1_3,12/18/15,101,24
Da_Ol1_3,1/20/16,134,64
Da_Ol1_3,2/17/16,162,110
Da_Ol1_3,3/16/16,190,155
Da_Ol1_3,5/13/16,248,173
